Shipment No.,Status,Direction,Product,Shipment Type,Product Type,Oper. Year,Oper. Period,Shipment Week,Shipment Day,Shipment Date,Principal,Carrier,Incoterm,Shipper Postcode,Shipper City,Shipper Country,Consignee Postcode,Consignee City,Consignee Country,Invoiced,Insurance,Letter Of Credit,Dangerous,Pieces,Actual Weight (kg),Volume (cbm),Charg. Weight (kg),W/M,FCL TEU,GP (EUR),Weight Group,Tracking Number,(Air)Port of Origin,Origin Country,(Air)Port of Destination,Destination Country,MS1 Count,MS2 Count,MS3 Count,MS4 Count,MS5 Count,MS6 Count
2101808,Active,Import,Oceanfreight FCL,FCL,FCL,2020,202004,2020/15,20200406,06.04.2020,Customer 247,YMLU - YANG MING (U.A.E) L.L.C.,CIF,2211 VN,NOORDWIJKERHOUT,NL - THE NETHERLANDS,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"6,103",43.000,-,43,3,116.24,-,-,ROTTERDAM,NL-NETHERLANDS,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
2101809,Active,Import,Oceanfreight LCL,LCL,LCL,2020,202004,2020/17,20200420,20.04.2020,Customer 922,SHPT - SSC CONSOLIDATION SHIPCO,CFR,8707,UETIKON AM SEE,CH - SWITZERLAND,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"3,100",12.600,-,13,0,109.63,-,-,QINGDAO PT,CN-CHINA,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,0
2101810,Active,Import,Oceanfreight FCL,FCL,FCL,2020,202004,2020/17,20200424,24.04.2020,Customer 631,MAEU - MAERSK KANOO UAE LLC,CFR,HD1 6SB,HUDDERSFIELD,GB - UNITED KINGDOM,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"23,665",40.000,-,40,2,109.63,-,-,FELIXSTOWE,GB-UNITED KINGDOM,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,0
2101811,Active,Import,Oceanfreight LCL,LCL,LCL,2020,202004,2020/15,20200412,12.04.2020,Customer 369,ECUI - ECU LINE MIDDLE EAST LLC,CFR,M1 1AD,MANCHESTER,GB - UNITED KINGDOM,.,SHARJAH,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"1,395",4.992,-,5,0,109.63,-,-,LONDON GATEWAY PORT,GB-UNITED KINGDOM,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,0
2101812,Active,Import,Oceanfreight FCL,FCL,FCL,2020,202004,2020/18,20200429,29.04.2020,Customer 562,MSCU - MSC MEDITERRANEAN SHIPPING COMPANY (U.A.E.) L.L.C.,CFR,BD120QF,UNITED KINGDOM,GB - UNITED KINGDOM,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"15,911",27.860,-,28,1,109.63,-,-,LIVERPOOL,GB-UNITED KINGDOM,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,0
2101813,Active,Import,Oceanfreight FCL,FCL,FCL,2020,202004,2020/17,20200420,20.04.2020,Customer 602,COSU - COSCO SHIPPING,CFR,SN28BW,WILTSHIRE,GB - UNITED KINGDOM,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"3,270",21.260,-,21,1,109.63,-,-,KOWLOON,HK-HONG KONG,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,0
2101814,Active,Import,Oceanfreight LCL,LCL,LCL,2020,202003,2020/10,20200308,08.03.2020,Customer 546,SHPT - SSC CONSOLIDATION SHIPCO,CFR,4051,VAUX SOUS CHEVREMONT,BE - BELGIUM,.,RAS AL KHAIMAH,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,440,0.680,-,1,0,109.63,-,-,BARCELONA,ES-SPAIN,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,0
2101815,Active,Import,Oceanfreight FCL,FCL,FCL,2020,202004,2020/16,20200416,16.04.2020,Customer 492,MSCU - MSC MEDITERRANEAN SHIPPING COMPANY (U.A.E.) L.L.C.,CFR,25365,KLEIN OFFENSETH-SPARRIESHOOP,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"18,220",40.000,-,40,2,109.63,-,-,ANTWERPEN,BE-BELGIUM,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
2101816,Active,Import,Oceanfreight LCL,LCL,LCL,2020,202004,2020/15,20200408,08.04.2020,Customer 333,MCL - MCL SHIPPING LLC (MASTER CONSOL LINE),EXW,529040,GUANGZHOU,CN - CHINA,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"3,324",15.015,-,15,0,193.45,-,-,SHEKOU PT,CN-CHINA,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
2101817,Active,Import,Oceanfreight LCL,LCL,LCL,2020,202004,2020/15,20200408,08.04.2020,Customer 269,NAQA - VANGUARD LOGISTICS SERVICES UAE,EXW,72756,ROGERS AR,US - UNITED STATES OF AMERICA,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,117,1.618,-,2,0,73.77,-,-,NEW YORK,US-UNITED STATES OF AMERICA,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
2101818,Active,Import,Oceanfreight FCL,FCL,FCL,2020,202004,2020/15,20200409,09.04.2020,Customer 859,MSCU - MSC MEDITERRANEAN SHIPPING COMPANY (U.A.E.) L.L.C.,CFR,SN1 1BB,SWINDON,GB - UNITED KINGDOM,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"18,100",80.000,-,80,4,109.63,-,-,LONDON GATEWAY PORT,GB-UNITED KINGDOM,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
2101819,Active,Import,Oceanfreight LCL,LCL,LCL,2020,202003,2020/13,20200324,24.03.2020,Customer 896,YMLU - YANG MING (U.A.E) L.L.C.,CFR,79189,KROZINGEN,DE - GERMANY,31411,DAMMAN,SA - SAUDI ARABIA,Yes,N,N,N,-,"2,124",1.637,-,2,0,55.78,-,-,ROTTERDAM,NL-NETHERLANDS,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,0
