,ShipmentNo_,Status,Direction,Product,ShipmentType,ProductType,Oper_Year,Oper_Period,ShipmentWeek,ShipmentDay,ShipmentDate,Principal,Carrier,Incoterm,ShipperPostcode,ShipperCity,ShipperCountry,ConsigneePostcode,ConsigneeCity,ConsigneeCountry,Invoiced,Insurance,LetterOfCredit,Dangerous,Pieces,ActualWeight(kg),Volume(cbm),Charg_Weight(kg),W/M,FCLTEU,GP(EUR),WeightGroup,TrackingNumber,(Air)PortofOrigin,OriginCountry,(Air)PortofDestination,DestinationCountry,MS1Count,MS2Count,MS3Count,MS4Count,MS5Count,MS6Count
898,2100513,1,1,2,LCL,LCL,2019,201907,2019/30,00:00.0,28.07.2019,Customer 260,YMLU - YANG MING (U.A.E) L.L.C.,CFR,1332 ED,ALMERE,NL - THE NETHERLANDS,10073,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,115,0.298,-,0,0,276.96,-,-,ROTTERDAM,NL-NETHERLANDS,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
899,2100514,1,1,2,LCL,LCL,2019,201907,2019/30,00:00.0,28.07.2019,Customer 364,YMLU - YANG MING (U.A.E) L.L.C.,CFR,1101 AE,AMSTERDAM ZUID-OOST,NL - THE NETHERLANDS,.,AL MINA,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"6,470",6.417,-,6,0,345.7,-,-,ROTTERDAM,NL-NETHERLANDS,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,2,1
900,2100515,1,1,2,LCL,LCL,2019,201907,2019/30,00:00.0,28.07.2019,Customer 657,YMLU - YANG MING (U.A.E) L.L.C.,CFR,3530,HOUTHALEN,BE - BELGIUM,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,203,0.958,-,1,0,318.18,-,-,ROTTERDAM,NL-NETHERLANDS,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,2,1
901,2100516,1,1,2,LCL,LCL,2019,201907,2019/30,00:00.0,28.07.2019,Customer 580,YMLU - YANG MING (U.A.E) L.L.C.,EXW,97437,HASSFURT,DE - GERMANY,.,SHARJAH,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,484,8.064,-,8,0,-190.94,-,-,ROTTERDAM,NL-NETHERLANDS,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,2,1
902,2100517,1,1,2,LCL,LCL,2019,201907,2019/30,00:00.0,28.07.2019,Customer 235,SHPT - SSC CONSOLIDATION SHIPCO,CIF,20095,HAMBURG,DE - GERMANY,.,ABU DHABI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,442,1.698,-,2,0,32.24,-,-,ROTTERDAM,NL-NETHERLANDS,ABU DHABI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
903,2100518,1,1,1,FCL,FCL,2019,201907,2019/30,00:00.0,25.07.2019,Customer 248,MSCU - MSC MEDITERRANEAN SHIPPING COMPANY (U.A.E.) L.L.C.,CFR,3095,LIMASSOL,CY - CYPRUS,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"1,518",10.608,-,11,1,109.63,-,-,LONDON GATEWAY PORT,GB-UNITED KINGDOM,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
904,2100519,1,1,1,FCL,FCL,2019,201907,2019/30,00:00.0,25.07.2019,Customer 181,COSU - COSCO SHIPPING,CFR,0,HONG KONG,HK - HONG KONG,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"31,992",40,-,40,2,109.63,-,-,SHANGHAI PT,CN-CHINA,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
905,2100520,1,1,1,FCL,FCL,2019,201907,2019/29,00:00.0,20.07.2019,Customer 251,OOCL - OOCL (UAE) LLC,CFR,57319,BERLEBURG,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"86,280",100,-,100,8,302.7,-,-,ROTTERDAM,NL-NETHERLANDS,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
906,2100521,1,1,1,FCL,FCL,2019,201907,2019/30,00:00.0,25.07.2019,Customer 492,MSCU - MSC MEDITERRANEAN SHIPPING COMPANY (U.A.E.) L.L.C.,CFR,25365,KLEIN OFFENSETH-SPARRIESHOOP,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,Y,-,"9,463",20,-,20,1,109.63,-,-,ANTWERPEN,BE-BELGIUM,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
907,2100522,1,1,1,FCL,FCL,2019,201907,2019/29,00:00.0,17.07.2019,Customer 477,MSCU - MSC MEDITERRANEAN SHIPPING COMPANY (U.A.E.) L.L.C.,CFR,18546,PIRAEUS,GR - GREECE,33166,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"4,901",9.05,-,9,2,733.16,-,-,BARCELONA,ES-SPAIN,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,0
