,ShipmentNo_,Status,Direction,Product,ShipmentType,ProductType,Oper_Year,Oper_Period,ShipmentWeek,ShipmentDay,ShipmentDate,Principal,Carrier,Incoterm,ShipperPostcode,ShipperCity,ShipperCountry,ConsigneePostcode,ConsigneeCity,ConsigneeCountry,Invoiced,Insurance,LetterOfCredit,Dangerous,Pieces,ActualWeight(kg),Volume(cbm),Charg_Weight(kg),W/M,FCLTEU,GP(EUR),WeightGroup,TrackingNumber,(Air)PortofOrigin,OriginCountry,(Air)PortofDestination,DestinationCountry,MS1Count,MS2Count,MS3Count,MS4Count,MS5Count,MS6Count
1418,2101033,1,1,1,FCL,FCL,2019,201901,2019/02,00:00.0,11.01.2019,Customer 767,HLCU - HAPAG-LLOYD AGENCY L.L.C,CFR,79761,WALDSHUT,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"4,260",40,-,40,2,77.39,-,-,ROTTERDAM,NL-NETHERLANDS,JEBEL ALI,AE-UNITED ARAB EMIRATES,0,0,0,0,0,0
1419,2101034,1,1,1,FCL,FCL,2019,201901,2019/02,00:00.0,13.01.2019,Customer 767,CGMU - CMA CGM AND ANL (NE) LLC,CFR,79761,WALDSHUT,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"6,524",40,-,40,2,77.39,-,-,ROTTERDAM,NL-NETHERLANDS,JEBEL ALI,AE-UNITED ARAB EMIRATES,0,0,0,0,0,0
1420,2101035,1,1,1,FCL,FCL,2019,201901,2019/01,00:00.0,01.01.2019,Customer 937,MAEU - MAERSK KANOO UAE LLC,CFR,YO224PT,WHITBY,GB - UNITED KINGDOM,.,ABU DHABI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"5,550",22.8,-,23,0,109.63,-,-,LONDON GATEWAY PORT,GB-UNITED KINGDOM,ABU DHABI,AE-UNITED ARAB EMIRATES,0,0,0,0,0,0
1421,2101036,1,1,2,LCL,LCL,2020,202012,2020/53,00:00.0,30.12.2020,Customer 333,SHPT - SSC CONSOLIDATION SHIPCO,CFR,58256,ENNEPETAL,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"1,547",6.337,-,6,0,129.3,-,-,HAMBURG,DE-GERMANY,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1422,2101037,1,1,1,FCL,FCL,2020,202012,2020/53,00:00.0,31.12.2020,Customer 322,EGLV - EVERGREEN SHIPPING AGENCY COMPANY (UAE) L.L.C,DDP,523333,GUANGDONG,CN - CHINA,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"16,189",256.401,-,256,10,285.67,-,-,SHEKOU PT,CN-CHINA,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1423,2101038,1,1,1,FCL,FCL,2020,202012,2020/53,00:00.0,30.12.2020,Customer 333,HDMU - HYUNDAI MERCHANT MARINE UAE LLC,CFR,618303,SINGAPORE,SG - SINGAPORE,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"8,882",26,-,26,2,122.53,-,-,ANTWERPEN,BE-BELGIUM,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1424,2101039,1,1,1,FCL,FCL,2020,202012,2020/53,00:00.0,28.12.2020,Customer 668,MSCU - MSC MEDITERRANEAN SHIPPING COMPANY (U.A.E.) L.L.C.,CFR,57319,BERLEBURG,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"89,340",104,-,104,8,175.41,-,-,ROTTERDAM,NL-NETHERLANDS,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1425,2101040,1,1,1,FCL,FCL,2020,202012,2020/53,00:00.0,28.12.2020,Customer 668,MSCU - MSC MEDITERRANEAN SHIPPING COMPANY (U.A.E.) L.L.C.,CFR,57319,BERLEBURG,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"87,820",104,-,104,8,175.41,-,-,ROTTERDAM,NL-NETHERLANDS,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1426,2101041,1,1,1,FCL,FCL,2020,202012,2020/53,00:00.0,28.12.2020,Customer 668,MSCU - MSC MEDITERRANEAN SHIPPING COMPANY (U.A.E.) L.L.C.,CFR,57319,BERLEBURG,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"87,120",104,-,104,8,175.41,-,-,ROTTERDAM,NL-NETHERLANDS,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1427,2101042,1,1,1,FCL,FCL,2020,202012,2020/53,00:00.0,28.12.2020,Customer 668,MSCU - MSC MEDITERRANEAN SHIPPING COMPANY (U.A.E.) L.L.C.,CFR,57319,BERLEBURG,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"37,325",44,-,44,3,113.5,-,-,ROTTERDAM,NL-NETHERLANDS,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1428,2101043,1,1,2,LCL,LCL,2020,202012,2020/53,00:00.0,28.12.2020,Customer 333,SHPT - SSC CONSOLIDATION SHIPCO,CFR,618303,SINGAPORE,SG - SINGAPORE,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"9,564",50,-,50,0,103.18,-,-,ROTTERDAM,NL-NETHERLANDS,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1429,2101044,1,1,2,LCL,LCL,2020,202012,2020/53,00:00.0,28.12.2020,Customer 333,SHPT - SSC CONSOLIDATION SHIPCO,CFR,618303,SINGAPORE,SG - SINGAPORE,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,36,0.123,-,0,0,77.97,-,-,HAMBURG,DE-GERMANY,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1430,2101045,1,1,2,LCL,LCL,2020,202012,2020/53,00:00.0,28.12.2020,Customer 335,SHPT - SSC CONSOLIDATION SHIPCO,CFR,618303,SINGAPORE,SG - SINGAPORE,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,106,0.745,-,1,0,108.27,-,-,HAMBURG,DE-GERMANY,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1431,2101046,1,1,2,LCL,LCL,2020,202012,2020/52,00:00.0,23.12.2020,Customer 804,SHPT - SSC CONSOLIDATION SHIPCO,DDP,0,MEKNES,MA - MOROCCO,.,SHARJAH,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,340,1.83,-,2,0,5.64,-,-,BARCELONA,ES-SPAIN,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1432,2101047,1,1,2,LCL,LCL,2020,202012,2020/52,00:00.0,23.12.2020,Customer 160,"MAC7 - MACNELS SHIPPING, DUBAI",EXW,95123,SAN JOSE,US - UNITED STATES OF AMERICA,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"3,341",5.38,-,5,0,241.18,-,-,NEW YORK,US-UNITED STATES OF AMERICA,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1433,2101048,1,1,2,LCL,LCL,2020,202012,2020/52,00:00.0,21.12.2020,Customer 368,ECUI - ECU LINE MIDDLE EAST LLC,CFR,M17 1QS,MANCHESTER,GB - UNITED KINGDOM,.,SHARJAH,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"2,367",7.104,-,7,0,116.08,-,-,LONDON GATEWAY PORT,GB-UNITED KINGDOM,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1434,2101049,1,1,1,FCL,FCL,2020,202012,2020/52,00:00.0,22.12.2020,Customer 767,OOCL - OOCL (UAE) LLC,CFR,79804,DOGERN,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"10,095",200,-,200,10,109.63,-,-,ANTWERPEN,BE-BELGIUM,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1435,2101050,1,1,1,FCL,FCL,2020,202012,2020/51,00:00.0,20.12.2020,Customer 259,HDMU - HYUNDAI MERCHANT MARINE UAE LLC,DDP,4700-565,MIRE DE TIBAES,PT - PORTUGAL,-,ABU DHABI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"8,948",30,-,30,1,155.91,-,-,LEIXÕES,PT-PORTUGAL,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1436,2101051,1,0,1,FCL,FCL,2020,202012,2020/51,00:00.0,17.12.2020,Customer 519,MSCU - MSC MEDITERRANEAN SHIPPING COMPANY (U.A.E.) L.L.C.,CFR,15700,GAZIANTEP,TR - TURKEY,57009,THESSALONIKI,GR - GREECE,Yes,N,N,N,-,"2,60,520",400,-,400,20,531.36,-,-,MERSIN,TR-TURKEY,THESSALON KI,GR-GREECE,1,1,1,1,0,0
1437,2101052,1,0,1,FCL,FCL,2020,202012,2020/52,00:00.0,21.12.2020,Customer 721,CGMU - CMA CGM AND ANL (NE) LLC,EXW,.,DUBAI,AE - UNITED ARAB EMIRATES,601204,THIRUVALLUR DISTRICT,IN - INDIA,Yes,N,N,N,-,"14,900",30,-,30,2,170.37,-,-,JEBEL ALI,AE-UNITED ARAB EMIRATES,CHENNAI (EX MADRAS),IN-INDIA,1,1,1,1,0,0
1438,2101053,1,0,1,FCL,FCL,2020,202012,2020/51,00:00.0,17.12.2020,Customer 519,MSCU - MSC MEDITERRANEAN SHIPPING COMPANY (U.A.E.) L.L.C.,CFR,15700,GAZIANTEP,TR - TURKEY,57009,THESSALONIKI,GR - GREECE,Yes,N,N,N,-,"1,56,312",240,-,240,12,183.2,-,-,MERSIN,TR-TURKEY,THESSALON KI,GR-GREECE,1,0,0,1,0,0
1439,2101054,1,0,1,FCL,FCL,2020,202012,2020/51,00:00.0,17.12.2020,Customer 519,MSCU - MSC MEDITERRANEAN SHIPPING COMPANY (U.A.E.) L.L.C.,CFR,15700,GAZIANTEP,TR - TURKEY,195,ROMA,IT - ITALY,Yes,N,N,N,-,"12,240",20,-,20,1,82.6,-,-,MERSIN,TR-TURKEY,GIOIA TAURO,IT-ITALY,1,0,0,1,0,0
1440,2101055,1,0,1,FCL,FCL,2020,202012,2020/51,00:00.0,17.12.2020,Customer 519,MSCU - MSC MEDITERRANEAN SHIPPING COMPANY (U.A.E.) L.L.C.,CFR,15700,GAZIANTEP,TR - TURKEY,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"12,240",0,-,12,1,82.6,-,-,MERSIN,TR-TURKEY,GIOIA TAURO,IT-ITALY,1,1,1,1,0,0
1441,2101056,1,0,1,FCL,FCL,2020,202012,2020/51,00:00.0,17.12.2020,Customer 519,MSCU - MSC MEDITERRANEAN SHIPPING COMPANY (U.A.E.) L.L.C.,CFR,15700,GAZIANTEP,TR - TURKEY,57022,THESSALONIKI,GR - GREECE,Yes,N,N,N,-,"18,072",20,-,20,1,-140.75,-,-,MERSIN,TR-TURKEY,PIRAEUS,GR-GREECE,1,1,1,1,0,0
1442,2101057,1,1,2,LCL,LCL,2020,202012,2020/52,00:00.0,21.12.2020,Customer 206,SHPT - SSC CONSOLIDATION SHIPCO,CFR,4000,LIEGE,BE - BELGIUM,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,854,4.621,-,5,0,116.08,-,-,ANTWERPEN,BE-BELGIUM,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1443,2101058,1,1,2,LCL,LCL,2020,202012,2020/51,00:00.0,18.12.2020,Customer 143,SHPT - SSC CONSOLIDATION SHIPCO,DAP,1930,ZAVENTEM,BE - BELGIUM,.,ABU DHABI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"6,282",12.34,-,12,0,38.91,-,-,AMBARLI,TR-TURKEY,ABU DHABI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1444,2101059,1,1,2,LCL,LCL,2020,202012,2020/51,00:00.0,18.12.2020,Customer 143,SHPT - SSC CONSOLIDATION SHIPCO,DAP,1930,ZAVENTEM,BE - BELGIUM,.,ABU DHABI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,170,1.056,-,1,0,139,-,-,ANTWERPEN,BE-BELGIUM,ABU DHABI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1445,2101060,1,1,2,LCL,LCL,2020,202012,2020/52,00:00.0,24.12.2020,Customer 204,ECUI - ECU LINE MIDDLE EAST LLC,CFR,4701,EUPEN,BE - BELGIUM,0,ABU DHABI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,127,1.103,-,1,0,32.24,-,-,ANTWERPEN,BE-BELGIUM,ABU DHABI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1446,2101061,1,0,1,FCL,FCL,2020,202012,2020/52,00:00.0,22.12.2020,Customer 519,HLCU - HAPAG-LLOYD AGENCY L.L.C,CFR,-,DUBAI,AE - UNITED ARAB EMIRATES,21421,JEDDAH,SA - SAUDI ARABIA,Yes,N,N,N,-,"10,700",20,-,20,1,226.25,-,-,JEBEL ALI,AE-UNITED ARAB EMIRATES,JEDDAH,SA-SAUDI ARABIA,1,1,1,1,0,0
1447,2101062,1,1,2,LCL,LCL,2020,202012,2020/51,00:00.0,17.12.2020,Customer 333,SHPT - SSC CONSOLIDATION SHIPCO,CIF,46250,INDIANAPOLIS,US - UNITED STATES OF AMERICA,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,197,1.007,-,1,0,72.23,-,-,INDIANAPOLIS,US-UNITED STATES OF AMERICA,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1448,2101063,1,1,1,FCL,FCL,2020,202012,2020/51,00:00.0,18.12.2020,Customer 767,OOCL - OOCL (UAE) LLC,CFR,79804,DOGERN,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"2,265",40,-,40,2,109.63,-,-,ANTWERPEN,BE-BELGIUM,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1449,2101064,1,1,2,LCL,LCL,2020,202012,2020/51,00:00.0,17.12.2020,Customer 333,SHPT - SSC CONSOLIDATION SHIPCO,CIF,46250,INDIANAPOLIS,US - UNITED STATES OF AMERICA,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"1,346",5.367,-,5,0,72.23,-,-,INDIANAPOLIS,US-UNITED STATES OF AMERICA,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1450,2101065,1,0,1,FCL,FCL,2020,202012,2020/51,00:00.0,19.12.2020,Customer 519,HLCU - HAPAG-LLOYD AGENCY L.L.C,CFR,-,DUBAI,AE - UNITED ARAB EMIRATES,19200,GUADALAJARA,ES - SPAIN,Yes,N,N,N,-,"5,350",20,-,20,1,122.85,-,-,JEBEL ALI,AE-UNITED ARAB EMIRATES,VALENCIA,ES-SPAIN,1,1,1,1,0,0
1451,2101066,1,1,1,FCL,FCL,2020,202012,2020/51,00:00.0,18.12.2020,Customer 631,HLCU - HAPAG-LLOYD AGENCY L.L.C,CFR,HD1 6SB,HUDDERSFIELD,GB - UNITED KINGDOM,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"4,212",21.31,-,21,1,116.08,-,-,LONDON GATEWAY PORT,GB-UNITED KINGDOM,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1452,2101067,1,1,1,FCL,FCL,2020,202012,2020/51,00:00.0,18.12.2020,Customer 510,COSU - COSCO SHIPPING,CFR,63263,NEU ISENBURG,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"13,904",20,-,20,1,116.08,-,-,HAMBURG,DE-GERMANY,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1453,2101068,1,1,2,LCL,LCL,2020,202012,2020/51,00:00.0,16.12.2020,Customer 837,"MAC7 - MACNELS SHIPPING, DUBAI",EXW,14814,BIG FLATS,US - UNITED STATES OF AMERICA,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,310,1.274,-,1,0,176.7,-,-,NEW YORK,US-UNITED STATES OF AMERICA,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1454,2101069,1,1,1,FCL,FCL,2020,202012,2020/51,00:00.0,15.12.2020,Customer 519,SUDU - HAMBURG SUD SHIPPING LLC,CFR,15700,GAZIANTEP,TR - TURKEY,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"10,700",40,-,40,2,68.36,-,-,MERSIN,TR-TURKEY,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1455,2101070,1,1,2,LCL,LCL,2020,202012,2020/51,00:00.0,15.12.2020,Customer 662,SHPT - SSC CONSOLIDATION SHIPCO,DAP,81300,JOHOR,MY - MALAYSIA,.,ABU DHABI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,498,1.493,-,1,0,333.09,-,-,PORT KLANG (PELABUHAN KLANG),MY-MALAYSIA,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1456,2101071,1,1,2,LCL,LCL,2020,202012,2020/51,00:00.0,16.12.2020,Customer 143,SHPT - SSC CONSOLIDATION SHIPCO,DDP,1930,ZAVENTEM,BE - BELGIUM,.,ABU DHABI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,151,0.71,-,1,0,143.55,-,-,ANTWERPEN,BE-BELGIUM,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1457,2101072,1,1,1,FCL,FCL,2020,202012,2020/51,00:00.0,16.12.2020,Customer 840,COSU - COSCO SHIPPING,FOB,63263,NEU ISENBURG,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"17,310",25,-,25,1,206.4,-,-,HAMBURG,DE-GERMANY,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1458,2101073,1,1,2,LCL,LCL,2020,202012,2020/51,00:00.0,17.12.2020,Customer 918,SHPT - SSC CONSOLIDATION SHIPCO,CFR,628502,SINGAPORE,SG - SINGAPORE,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"1,159",2.18,-,2,0,116.08,-,-,SINGAPORE,SG-SINGAPORE,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1459,2101074,1,1,2,LCL,LCL,2020,202012,2020/51,00:00.0,15.12.2020,Customer 887,"MAC7 - MACNELS SHIPPING, DUBAI",EXW,37066,SOMMACAMPAGNA,IT - ITALY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"1,371",17.71,-,18,0,128.98,-,-,GENOVA,IT-ITALY,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1460,2101075,1,0,2,LCL,LCL,2020,202012,2020/51,00:00.0,14.12.2020,Customer 721,SHPT - SSC CONSOLIDATION SHIPCO,EXW,DY2 8SZ,LONDON,GB - UNITED KINGDOM,560008,KARNATAKA,IN - INDIA,Yes,N,N,N,-,400,7.406,-,7,0,97.71,-,-,JEBEL ALI,AE-UNITED ARAB EMIRATES,CHENNAI (EX MADRAS),IN-INDIA,1,1,1,1,0,0
1461,2101076,1,0,1,FCL,FCL,2020,202012,2020/51,00:00.0,19.12.2020,Customer 720,HDMU - HYUNDAI MERCHANT MARINE UAE LLC,EXW,263120,DUBAI,AE - UNITED ARAB EMIRATES,430056,WUHAN,CN - CHINA,Yes,N,N,N,-,"12,528",104.62,-,105,4,237.89,-,-,JEBEL ALI,AE-UNITED ARAB EMIRATES,DALIAN PT,CN-CHINA,1,1,1,1,0,0
1462,2101077,1,0,2,LCL,LCL,2020,202012,2020/51,00:00.0,14.12.2020,Customer 721,SHPT - SSC CONSOLIDATION SHIPCO,EXW,-,ABU DHABI,AE - UNITED ARAB EMIRATES,601204,THIRUVALLUR DISTRICT,IN - INDIA,Yes,N,N,N,-,432,0.393,-,0,0,136.41,-,-,JEBEL ALI,AE-UNITED ARAB EMIRATES,CHENNAI (EX MADRAS),IN-INDIA,1,1,1,1,0,0
1463,2101078,1,1,1,FCL,FCL,2020,202012,2020/50,00:00.0,13.12.2020,Customer 259,MSCU - MSC MEDITERRANEAN SHIPPING COMPANY (U.A.E.) L.L.C.,DDP,4700-565,MIRE DE TIBAES,PT - PORTUGAL,-,ABU DHABI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"56,000",60,-,60,2,296.47,-,-,SINES,PT-PORTUGAL,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1464,2101079,1,1,1,FCL,FCL,2020,202012,2020/50,00:00.0,13.12.2020,Customer 511,ESPU - EMIRATES SHIPPING LINE,CFR,71760,NEGERI SEMBILAN,MY - MALAYSIA,.,SHARJAH,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"14,740",24.1,-,24,1,116.08,-,-,PORT KLANG (PELABUHAN KLANG),MY-MALAYSIA,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1465,2101080,1,1,1,FCL,FCL,2020,202012,2020/51,00:00.0,14.12.2020,Customer 668,MSCU - MSC MEDITERRANEAN SHIPPING COMPANY (U.A.E.) L.L.C.,CIP,20457,HAMBURG,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"66,060",150,-,150,6,144.45,-,-,ROTTERDAM,NL-NETHERLANDS,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1466,2101081,1,1,1,FCL,FCL,2020,202012,2020/50,00:00.0,11.12.2020,Customer 383,HLCU - HAPAG-LLOYD AGENCY L.L.C,CFR,12080,CASTELLON,ES - SPAIN,.,RAS AL KHAIMAH,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"73,180",120,-,120,4,109.63,-,-,VALENCIA,ES-SPAIN,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1467,2101082,1,1,2,LCL,LCL,2020,202012,2020/50,00:00.0,11.12.2020,Customer 333,CPW - CP WORLD LLC,EXW,100005,TONGZHOU,CN - CHINA,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,199,0.288,-,0,0,179.28,-,-,QINGDAO PT,CN-CHINA,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1468,2101083,1,1,2,LCL,LCL,2020,202012,2020/50,00:00.0,10.12.2020,Customer 592,YMLU - YANG MING (U.A.E) L.L.C.,CFR,4731,EYNATTEN,BE - BELGIUM,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,179,7.293,-,7,0,70.44,-,-,ANTWERPEN,BE-BELGIUM,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1469,2101084,1,1,2,LCL,LCL,2020,202012,2020/50,00:00.0,10.12.2020,Customer 227,YMLU - YANG MING (U.A.E) L.L.C.,CFR,42781,HAAN,DE - GERMANY,.,AJMAN,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"1,592",3.627,-,4,0,148.66,-,-,ANTWERPEN,BE-BELGIUM,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1470,2101085,1,1,2,LCL,LCL,2020,202012,2020/50,00:00.0,10.12.2020,Customer 551,YMLU - YANG MING (U.A.E) L.L.C.,CFR,8502 VB,JOURE,NL - THE NETHERLANDS,.,SHARJAH,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,28,0.158,-,0,0,25.1,-,-,ANTWERPEN,BE-BELGIUM,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1471,2101086,1,1,2,LCL,LCL,2020,202012,2020/50,00:00.0,10.12.2020,Customer 422,YMLU - YANG MING (U.A.E) L.L.C.,CFR,71229,LEONBERG,DE - GERMANY,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"5,347",12.321,-,12,0,-19.85,-,-,ANTWERPEN,BE-BELGIUM,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1472,2101087,1,1,2,LCL,LCL,2020,202012,2020/50,00:00.0,10.12.2020,Customer 206,YMLU - YANG MING (U.A.E) L.L.C.,CFR,4000,LIEGE,BE - BELGIUM,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"1,204",6.37,-,6,0,105.23,-,-,ANTWERPEN,BE-BELGIUM,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1473,2101088,1,0,1,FCL,FCL,2020,202012,2020/50,00:00.0,11.12.2020,Customer 698,UAFL - UNITED AFRICA FEEDER LINE,EXW,-,RAS AL KHAIMAH,AE - UNITED ARAB EMIRATES,1609,GAUTENG,ZA - SOUTH-AFRICA,Yes,N,N,N,-,"7,030",15.96,-,16,1,129.3,-,-,JEBEL ALI,AE-UNITED ARAB EMIRATES,DURBAN,ZA-SOUTH AFRICA,1,1,1,1,0,0
1474,2101089,1,1,2,LCL,LCL,2020,202012,2020/50,00:00.0,13.12.2020,Customer 922,SHPT - SSC CONSOLIDATION SHIPCO,CFR,8707,UETIKON AM SEE,CH - SWITZERLAND,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"2,480",0,-,2,0,109.63,-,-,QINGDAO PT,CN-CHINA,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1475,2101090,1,1,2,LCL,LCL,2020,202012,2020/50,00:00.0,09.12.2020,Customer 785,NAQA - VANGUARD LOGISTICS SERVICES UAE,CFR,611930,PENGZHOU,CN - CHINA,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,90,0.89,-,1,0,116.08,-,-,SHANGHAI PT,CN-CHINA,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1476,2101091,0,0,1,FCL,FCL,2020,202012,2020/50,00:00.0,11.12.2020,Customer 694,MAEU - MAERSK KANOO UAE LLC,EXW,-,DUBAI,AE - UNITED ARAB EMIRATES,21555,ERBIL,IQ - IRAQ,Yes,N,N,N,-,"29,000",75,-,75,3,106.41,-,-,JEBEL ALI,AE-UNITED ARAB EMIRATES,ISKENDERUN,TR-TURKEY,1,1,1,1,0,0
1477,2101092,1,0,1,FCL,FCL,2020,202012,2020/50,00:00.0,12.12.2020,Customer 338,CGMU - CMA CGM AND ANL (NE) LLC,CFR,.,DUBAI,AE - UNITED ARAB EMIRATES,12345,TRIPOLI,LY - LIBYA,Yes,N,N,Y,-,"1,32,480",120,-,132,6,"2,755.11",-,-,JEBEL ALI,AE-UNITED ARAB EMIRATES,VALLETTA,MT-MALTA,1,1,1,1,0,0
1478,2101093,1,1,2,LCL,LCL,2020,202012,2020/50,00:00.0,09.12.2020,Customer 241,SHPT - SSC CONSOLIDATION SHIPCO,CFR,68526,LADENBURG,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"7,453",9.6,-,10,0,116.08,-,-,ANTWERPEN,BE-BELGIUM,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
